accessions,EC
Q6D2R1,EC:3.1.3
Q6D2R1,EC:3.1.3.89
O13287,EC:1
O13287,EC:1.1
O13287,EC:1.1.1
O13287,EC:1.1.1.44
Q9PKX7,EC:1
Q9PKX7,EC:1.1
Q9PKX7,EC:1.1.1
Q9PKX7,EC:1.1.1.44
O84066,EC:1
O84066,EC:1.1
O84066,EC:1.1.1
O84066,EC:1.1.1.44
O60037,EC:1
O60037,EC:1.1
O60037,EC:1.1.1
O60037,EC:1.1.1.44
P41572,EC:1
P41572,EC:1.1
P41572,EC:1.1.1
P41572,EC:1.1.1.44
C8VP36,EC:1
C8VP36,EC:1.1
C8VP36,EC:1.1.1
C8VP36,EC:1.1.1.44
P43774,EC:1
P43774,EC:1.1
P43774,EC:1.1.1
P43774,EC:1.1.1.44
P52209,EC:1
P52209,EC:1.1
P52209,EC:1.1.1
P52209,EC:1.1.1.44
A0A096SRM5,EC:2
A0A096SRM5,EC:2.4
A0A096SRM5,EC:2.4.1
A0A096SRM5,EC:0
I1L3T1,EC:2
I1L3T1,EC:2.4
I1L3T1,EC:2.4.1
I1L3T1,EC:2.4.1.360
A0A517FNC4,EC:1
A0A517FNC4,EC:1.14
A0A517FNC4,EC:1.14.14
A0A517FNC4,EC:0
K4GGT4,EC:2
K4GGT4,EC:2.4
K4GGT4,EC:2.4.1
K4GGT4,EC:2.4.1.368
A0A2R4LMF9,EC:2
A0A2R4LMF9,EC:2.4
A0A2R4LMF9,EC:2.4.1
A0A2R4LMF9,EC:0
U3KPV4,EC:2
U3KPV4,EC:2.4
U3KPV4,EC:2.4.1
U3KPV4,EC:2.4.1.87
A0A4Z3,EC:2
A0A4Z3,EC:2.4
A0A4Z3,EC:2.4.1
A0A4Z3,EC:2.4.1.87
P0C2L1,EC:4
P0C2L1,EC:4.6
P0C2L1,EC:4.6.1
P0C2L1,EC:0
C0JB14,EC:4
C0JB14,EC:4.6
C0JB14,EC:4.6.1
C0JB14,EC:0
C0JB23,EC:4
C0JB23,EC:4.6
C0JB23,EC:4.6.1
C0JB23,EC:0
Q802W2,EC:1
Q802W2,EC:1.2
Q802W2,EC:1.2.1
Q802W2,EC:1.2.1.47
Q802W2,EC:1.2.1.3
Q0CGA6,EC:1
Q0CGA6,EC:1.14
Q0CGA6,EC:1.14.99
Q0CGA6,EC:1.14.99.55
A0A151V4J3,EC:1
A0A151V4J3,EC:1.14
A0A151V4J3,EC:1.14.99
A0A151V4J3,EC:1.14.99.55
H9A1V3,EC:6
H9A1V3,EC:6.2
H9A1V3,EC:6.2.1
H9A1V3,EC:0
Q9SEY5,EC:6
Q9SEY5,EC:6.2
Q9SEY5,EC:6.2.1
Q9SEY5,EC:0
Q9FFE6,EC:6
Q9FFE6,EC:6.2
Q9FFE6,EC:6.2.1
Q9FFE6,EC:0
D9XDR8,EC:4
D9XDR8,EC:4.2
D9XDR8,EC:4.2.3
D9XDR8,EC:4.2.3.162
D9J0Z7,EC:2
D9J0Z7,EC:2.1
D9J0Z7,EC:2.1.1
D9J0Z7,EC:2.1.1.277
D9J100,EC:2
D9J100,EC:2.1
D9J100,EC:2.1.1
D9J100,EC:2.1.1.277
D9J100,EC:2.1.1.273
D9J100,EC:2.1.1.274
A0P8X0,EC:3
A0P8X0,EC:3.2
A0P8X0,EC:3.2.1
A0P8X0,EC:3.2.1.1
P37898,EC:3
P37898,EC:3.4
P37898,EC:3.4.11
P37898,EC:0
P21133,EC:2
P21133,EC:2.3
P21133,EC:2.3.1
P21133,EC:2.3.1.164
Q2T9S8,EC:2
Q2T9S8,EC:2.6
Q2T9S8,EC:2.6.1
Q2T9S8,EC:2.6.1.1
Q7TSV6,EC:2
Q7TSV6,EC:2.6
Q7TSV6,EC:2.6.1
Q7TSV6,EC:2.6.1.1
Q22067,EC:2
Q22067,EC:2.6
Q22067,EC:2.6.1
Q22067,EC:2.6.1.1
P28734,EC:2
P28734,EC:2.6
P28734,EC:2.6.1
P28734,EC:2.6.1.1
P08906,EC:2
P08906,EC:2.6
P08906,EC:2.6.1
P08906,EC:2.6.1.1
P08906,EC:2.6.1.3
P05201,EC:2
P05201,EC:2.6
P05201,EC:2.6.1
P05201,EC:2.6.1.1
P05201,EC:2.6.1.3
Q9MA15,EC:2
Q9MA15,EC:2.7
Q9MA15,EC:2.7.11
Q9MA15,EC:2.7.11.1
Q93Y08,EC:2
Q93Y08,EC:2.7
Q93Y08,EC:2.7.11
Q93Y08,EC:2.7.11.1
Q9P7V2,EC:7
Q9P7V2,EC:7.6
Q9P7V2,EC:7.6.2
Q9P7V2,EC:7.6.2.2
Q8K440,EC:7
Q8K440,EC:7.6
Q8K440,EC:7.6.2
Q8K440,EC:0
Q9BZC7,EC:7
Q9BZC7,EC:7.6
Q9BZC7,EC:7.6.2
Q9BZC7,EC:0
Q9ESR9,EC:7
Q9ESR9,EC:7.6
Q9ESR9,EC:7.6.2
Q9ESR9,EC:0
Q8R420,EC:7
Q8R420,EC:7.6
Q8R420,EC:7.6.2
Q8R420,EC:7.6.2.1
Q8R420,EC:7.6.2.2
F1MWM0,EC:7
F1MWM0,EC:7.6
F1MWM0,EC:7.6.2
F1MWM0,EC:7.6.2.1
O35600,EC:7
O35600,EC:7.6
O35600,EC:7.6.2
O35600,EC:7.6.2.1
A8APA8,EC:3
A8APA8,EC:3.5
A8APA8,EC:3.5.1
A8APA8,EC:3.5.1.135
P67604,EC:3
P67604,EC:3.5
P67604,EC:3.5.1
P67604,EC:3.5.1.135
A7FJ89,EC:3
A7FJ89,EC:3.5
A7FJ89,EC:3.5.1
A7FJ89,EC:3.5.1.135
A4YGN2,EC:1
A4YGN2,EC:1.3
A4YGN2,EC:1.3.1
A4YGN2,EC:1.3.1.84
Q975C8,EC:1
Q975C8,EC:1.3
Q975C8,EC:1.3.1
Q975C8,EC:1.3.1.84
Q9VIP7,EC:3
Q9VIP7,EC:3.5
Q9VIP7,EC:3.5.1
Q9VIP7,EC:3.5.1.23
A5G0K5,EC:2
A5G0K5,EC:2.1
A5G0K5,EC:2.1.3
A5G0K5,EC:2.1.3.15
A3N2D4,EC:2
A3N2D4,EC:2.1
A3N2D4,EC:2.1.3
A3N2D4,EC:2.1.3.15
B6JAC0,EC:2
B6JAC0,EC:2.1
B6JAC0,EC:2.1.3
B6JAC0,EC:2.1.3.15
B9JBU0,EC:2
B9JBU0,EC:2.1
B9JBU0,EC:2.1.3
B9JBU0,EC:2.1.3.15
A8EWE9,EC:2
A8EWE9,EC:2.1
A8EWE9,EC:2.1.3
A8EWE9,EC:2.1.3.15
Q5WEF5,EC:2
Q5WEF5,EC:2.1
Q5WEF5,EC:2.1.3
Q5WEF5,EC:2.1.3.15
A8MLP2,EC:2
A8MLP2,EC:2.1
A8MLP2,EC:2.1.3
A8MLP2,EC:2.1.3.15
P46316,EC:2
P46316,EC:2.1
P46316,EC:2.1.3
P46316,EC:2.1.3.15
A6LSD1,EC:2
A6LSD1,EC:2.1
A6LSD1,EC:2.1.3
A6LSD1,EC:2.1.3.15
Q0TRG2,EC:2
Q0TRG2,EC:2.1
Q0TRG2,EC:2.1.3
Q0TRG2,EC:2.1.3.15
B6J4K5,EC:2
B6J4K5,EC:2.1
B6J4K5,EC:2.1.3
B6J4K5,EC:2.1.3.15
A7MEM7,EC:2
A7MEM7,EC:2.1
A7MEM7,EC:2.1.3
A7MEM7,EC:2.1.3.15
O19903,EC:2
O19903,EC:2.1
O19903,EC:2.1.3
O19903,EC:2.1.3.15
Q92ME2,EC:2
Q92ME2,EC:2.1
Q92ME2,EC:2.1.3
Q92ME2,EC:2.1.3.15
Q7TTY7,EC:2
Q7TTY7,EC:2.1
Q7TTY7,EC:2.1.3
Q7TTY7,EC:2.1.3.15
Q2J2R7,EC:2
Q2J2R7,EC:2.1
Q2J2R7,EC:2.1.3
Q2J2R7,EC:2.1.3.15
Q6NCG4,EC:2
Q6NCG4,EC:2.1
Q6NCG4,EC:2.1.3
Q6NCG4,EC:2.1.3.15
Q16BI0,EC:2
Q16BI0,EC:2.1
Q16BI0,EC:2.1.3
Q16BI0,EC:2.1.3.15
Q5LME7,EC:2
Q5LME7,EC:2.1
Q5LME7,EC:2.1.3
Q5LME7,EC:2.1.3.15
B2A865,EC:2
B2A865,EC:2.1
B2A865,EC:2.1.3
B2A865,EC:2.1.3.15
A8M4V8,EC:2
A8M4V8,EC:2.1
A8M4V8,EC:2.1.3
A8M4V8,EC:2.1.3.15
A9NFE8,EC:2
A9NFE8,EC:2.1
A9NFE8,EC:2.1.3
A9NFE8,EC:2.1.3.15
B0VRF9,EC:2
B0VRF9,EC:2.1
B0VRF9,EC:2.1.3
B0VRF9,EC:2.1.3.15
A6VP44,EC:2
A6VP44,EC:2.1
A6VP44,EC:2.1.3
A6VP44,EC:2.1.3.15
A0KLN6,EC:2
A0KLN6,EC:2.1
A0KLN6,EC:2.1.3
A0KLN6,EC:2.1.3.15
Q0G9L0,EC:2
Q0G9L0,EC:2.1
Q0G9L0,EC:2.1.3
Q0G9L0,EC:2.1.3.15
Q9BBS1,EC:2
Q9BBS1,EC:2.1
Q9BBS1,EC:2.1.3
Q9BBS1,EC:2.1.3.15
Q65TC9,EC:2
Q65TC9,EC:2.1
Q65TC9,EC:2.1.3
Q65TC9,EC:2.1.3.15
A6VWY7,EC:2
A6VWY7,EC:2.1
A6VWY7,EC:2.1.3
A6VWY7,EC:2.1.3.15
Q604P5,EC:2
Q604P5,EC:2.1
Q604P5,EC:2.1.3
Q604P5,EC:2.1.3.15
A7IFZ8,EC:2
A7IFZ8,EC:2.1
A7IFZ8,EC:2.1.3
A7IFZ8,EC:2.1.3.15
Q94A78,EC:1
Q94A78,EC:1.14
Q94A78,EC:0
Q94A78,EC:0
Q5EAD4,EC:1
Q5EAD4,EC:1.3
Q5EAD4,EC:1.3.8
Q5EAD4,EC:1.3.8.5
P45954,EC:1
P45954,EC:1.3
P45954,EC:1.3.8
P45954,EC:1.3.8.5
P52042,EC:1
P52042,EC:1.3
P52042,EC:1.3.8
P52042,EC:1.3.8.1
C3UVB0,EC:1
C3UVB0,EC:1.3
C3UVB0,EC:1.3.99
C3UVB0,EC:1.3.99.32
Q58010,EC:6
Q58010,EC:6.2
Q58010,EC:6.2.1
Q58010,EC:6.2.1.13
P38433,EC:3
P38433,EC:3.1
P38433,EC:3.1.1
P38433,EC:3.1.1.7
Q58DD0,EC:3
Q58DD0,EC:3.4
Q58DD0,EC:3.4.17
Q58DD0,EC:3.4.17.23
A4T166,EC:2
A4T166,EC:2.7
A4T166,EC:2.7.2
A4T166,EC:2.7.2.1
Q73T33,EC:2
Q73T33,EC:2.7
Q73T33,EC:2.7.2
Q73T33,EC:2.7.2.1
Q98QX2,EC:2
Q98QX2,EC:2.7
Q98QX2,EC:2.7.2
Q98QX2,EC:2.7.2.1
A1UAA8,EC:2
A1UAA8,EC:2.7
A1UAA8,EC:2.7.2
A1UAA8,EC:2.7.2.1
B2A8I5,EC:2
B2A8I5,EC:2.7
B2A8I5,EC:2.7.2
B2A8I5,EC:2.7.2.1
Q1QPW6,EC:2
Q1QPW6,EC:2.7
Q1QPW6,EC:2.7.2
Q1QPW6,EC:2.7.2.1
B2J068,EC:2
B2J068,EC:2.7
B2J068,EC:2.7.2
B2J068,EC:2.7.2.1
Q2UPA9,EC:6
Q2UPA9,EC:6.3
Q2UPA9,EC:6.3.2
Q2UPA9,EC:0
P83855,EC:4
P83855,EC:4.6
P83855,EC:4.6.1
P83855,EC:4.6.1.1
P81730,EC:3
P81730,EC:3.4
P81730,EC:3.4.24
P81730,EC:0
P53585,EC:2
P53585,EC:2.3
P53585,EC:2.3.3
P53585,EC:2.3.3.8
Q54YA0,EC:2
Q54YA0,EC:2.3
Q54YA0,EC:2.3.3
Q54YA0,EC:2.3.3.8
P16638,EC:2
P16638,EC:2.3
P16638,EC:2.3.3
P16638,EC:2.3.3.8
A6T5D6,EC:3
A6T5D6,EC:3.1
A6T5D6,EC:3.1.4
A6T5D6,EC:3.1.4.14
Q7N0I2,EC:3
Q7N0I2,EC:3.1
Q7N0I2,EC:3.1.4
Q7N0I2,EC:3.1.4.14
P19205,EC:3
P19205,EC:3.4
P19205,EC:3.4.19
P19205,EC:3.4.19.1
A9MM59,EC:3
A9MM59,EC:3.1
A9MM59,EC:3.1.4
A9MM59,EC:3.1.4.14
Q3AEB5,EC:2
Q3AEB5,EC:2.7
Q3AEB5,EC:2.7.8
Q3AEB5,EC:2.7.8.7
Q3J5W3,EC:2
Q3J5W3,EC:2.7
Q3J5W3,EC:2.7.8
Q3J5W3,EC:2.7.8.7
A9WE63,EC:2
A9WE63,EC:2.7
A9WE63,EC:2.7.8
A9WE63,EC:2.7.8.7
Q5L623,EC:2
Q5L623,EC:2.7
Q5L623,EC:2.7.8
Q5L623,EC:2.7.8.7
Q820E7,EC:2
Q820E7,EC:2.7
Q820E7,EC:2.7.8
Q820E7,EC:2.7.8.7
Q254H8,EC:2
Q254H8,EC:2.7
Q254H8,EC:2.7.8
Q254H8,EC:2.7.8.7
Q9PKT6,EC:2
Q9PKT6,EC:2.7
Q9PKT6,EC:2.7.8
Q9PKT6,EC:2.7.8.7
Q820I1,EC:2
Q820I1,EC:2.7
Q820I1,EC:2.7.8
Q820I1,EC:2.7.8.7
Q2Y864,EC:2
Q2Y864,EC:2.7
Q2Y864,EC:2.7.8
Q2Y864,EC:2.7.8.7
A6Q3W1,EC:2
A6Q3W1,EC:2.7
A6Q3W1,EC:2.7.8
A6Q3W1,EC:2.7.8.7
Q5Z0D8,EC:2
Q5Z0D8,EC:2.7
Q5Z0D8,EC:2.7.8
Q5Z0D8,EC:2.7.8.7
Q8ESK9,EC:2
Q8ESK9,EC:2.7
Q8ESK9,EC:2.7.8
Q8ESK9,EC:2.7.8.7
Q04DI0,EC:2
Q04DI0,EC:2.7
Q04DI0,EC:2.7.8
Q04DI0,EC:2.7.8.7
B3CQ27,EC:2
B3CQ27,EC:2.7
B3CQ27,EC:2.7.8
B3CQ27,EC:2.7.8.7
A7HX46,EC:2
A7HX46,EC:2.7
A7HX46,EC:2.7.8
A7HX46,EC:2.7.8.7
A1JKK7,EC:2
A1JKK7,EC:2.7
A1JKK7,EC:2.7.8
A1JKK7,EC:2.7.8.7
P37623,EC:2
P37623,EC:2.7
P37623,EC:2.7.8
P37623,EC:2.7.8.7
Q9I558,EC:6
Q9I558,EC:6.2
Q9I558,EC:6.2.1
Q9I558,EC:6.2.1.1
Q59167,EC:2
Q59167,EC:2.4
Q59167,EC:2.4.1
Q59167,EC:2.4.1.12
Q9HV66,EC:6
Q9HV66,EC:6.2
Q9HV66,EC:6.2.1
Q9HV66,EC:6.2.1.1
A0KNI2,EC:6
A0KNI2,EC:6.2
A0KNI2,EC:6.2.1
A0KNI2,EC:6.2.1.1
Q9KWA3,EC:6
Q9KWA3,EC:6.2
Q9KWA3,EC:6.2.1
Q9KWA3,EC:6.2.1.1
B9JV43,EC:6
B9JV43,EC:6.2
B9JV43,EC:6.2.1
B9JV43,EC:6.2.1.1
Q0AAW0,EC:6
Q0AAW0,EC:6.2
Q0AAW0,EC:6.2.1
Q0AAW0,EC:6.2.1.1
A1UR36,EC:6
A1UR36,EC:6.2
A1UR36,EC:6.2.1
A1UR36,EC:6.2.1.1
Q85FX6,EC:1
Q85FX6,EC:1.14
Q85FX6,EC:1.14.13
Q85FX6,EC:1.14.13.81
Q6B8U1,EC:1
Q6B8U1,EC:1.14
Q6B8U1,EC:1.14.13
Q6B8U1,EC:1.14.13.81
Q7U6Y8,EC:1
Q7U6Y8,EC:1.14
Q7U6Y8,EC:1.14.13
Q7U6Y8,EC:1.14.13.81
A3PD22,EC:1
A3PD22,EC:1.14
A3PD22,EC:1.14.13
A3PD22,EC:1.14.13.81
A9BAI8,EC:1
A9BAI8,EC:1.14
A9BAI8,EC:1.14.13
A9BAI8,EC:1.14.13.81
Q7V3Y9,EC:1
Q7V3Y9,EC:1.14
Q7V3Y9,EC:1.14.13
Q7V3Y9,EC:1.14.13.81
Q6N9J7,EC:1
Q6N9J7,EC:1.14
Q6N9J7,EC:1.14.13
Q6N9J7,EC:1.14.13.81
A2XLF2,EC:3
A2XLF2,EC:3.6
A2XLF2,EC:3.6.4
A2XLF2,EC:0
P30164,EC:3
P30164,EC:3.6
P30164,EC:3.6.4
P30164,EC:0
P41112,EC:3
P41112,EC:3.6
P41112,EC:3.6.4
P41112,EC:0
Q9Y702,EC:3
Q9Y702,EC:3.6
Q9Y702,EC:3.6.4
Q9Y702,EC:0
P53470,EC:3
P53470,EC:3.6
P53470,EC:3.6.4
P53470,EC:0
P63267,EC:3
P63267,EC:3.6
P63267,EC:3.6.4
P63267,EC:0
Q02059,EC:2
Q02059,EC:2.3
Q02059,EC:2.3.1
Q02059,EC:0
Q02062,EC:2
Q02062,EC:2.3
Q02062,EC:2.3.1
Q02062,EC:0
Q2U7A3,EC:3
Q2U7A3,EC:3.6
Q2U7A3,EC:3.6.4
Q2U7A3,EC:0
Q8KP10,EC:3
Q8KP10,EC:0
Q8KP10,EC:0
Q8KP10,EC:0
Q92192,EC:3
Q92192,EC:3.6
Q92192,EC:3.6.4
Q92192,EC:0
P86700,EC:3
P86700,EC:3.6
P86700,EC:3.6.4
P86700,EC:0
P53499,EC:3
P53499,EC:3.6
P53499,EC:3.6.4
P53499,EC:0
O65315,EC:3
O65315,EC:3.6
O65315,EC:3.6.4
O65315,EC:0
O17320,EC:3
O17320,EC:3.6
O17320,EC:3.6.4
O17320,EC:0
Q01757,EC:6
Q01757,EC:6.3
Q01757,EC:6.3.2
Q01757,EC:6.3.2.26
O62137,EC:1
O62137,EC:1.3
O62137,EC:1.3.3
O62137,EC:0
O62139,EC:1
O62139,EC:1.3
O62139,EC:1.3.3
O62139,EC:0
Q20992,EC:1
Q20992,EC:1.3
Q20992,EC:1.3.3
Q20992,EC:0
Q8RM03,EC:6
Q8RM03,EC:6.4
Q8RM03,EC:6.4.1
Q8RM03,EC:6.4.1.6
Q55DP8,EC:3
Q55DP8,EC:3.5
Q55DP8,EC:3.5.1
Q55DP8,EC:3.5.1.14
Q99JW2,EC:3
Q99JW2,EC:3.5
Q99JW2,EC:3.5.1
Q99JW2,EC:3.5.1.14
Q05910,EC:3
Q05910,EC:3.4
Q05910,EC:3.4.24
Q05910,EC:0
Q9NII1,EC:3
Q9NII1,EC:3.5
Q9NII1,EC:0
Q9NII1,EC:0
O45218,EC:2
O45218,EC:2.5
O45218,EC:2.5.1
O45218,EC:2.5.1.26
B1I493,EC:3
B1I493,EC:3.6
B1I493,EC:3.1
B1I493,EC:3.6.4
B1I493,EC:3.6.4.12
A4J4E3,EC:3
A4J4E3,EC:3.6
A4J4E3,EC:3.1
A4J4E3,EC:3.6.4
A4J4E3,EC:3.6.4.12
B1YKM8,EC:3
B1YKM8,EC:3.6
B1YKM8,EC:3.1
B1YKM8,EC:3.6.4
B1YKM8,EC:3.6.4.12
A4IKW7,EC:3
A4IKW7,EC:3.6
A4IKW7,EC:3.1
A4IKW7,EC:3.6.4
A4IKW7,EC:3.6.4.12
Q5FJX0,EC:3
Q5FJX0,EC:3.6
Q5FJX0,EC:3.1
Q5FJX0,EC:3.6.4
Q5FJX0,EC:3.6.4.12
Q1GAA9,EC:3
Q1GAA9,EC:3.6
Q1GAA9,EC:3.1
Q1GAA9,EC:3.6.4
Q1GAA9,EC:3.6.4.12
A8YVK0,EC:3
A8YVK0,EC:3.6
A8YVK0,EC:3.1
A8YVK0,EC:3.6.4
A8YVK0,EC:3.6.4.12
A2RH77,EC:3
A2RH77,EC:3.6
A2RH77,EC:3.1
A2RH77,EC:3.6.4
A2RH77,EC:3.6.4.12
Q8ERW6,EC:3
Q8ERW6,EC:3.6
Q8ERW6,EC:3.1
Q8ERW6,EC:3.6.4
Q8ERW6,EC:3.6.4.12
Q03D70,EC:3
Q03D70,EC:3.6
Q03D70,EC:3.1
Q03D70,EC:3.6.4
Q03D70,EC:3.6.4.12
B8I2Y3,EC:3
B8I2Y3,EC:3.6
B8I2Y3,EC:3.1
B8I2Y3,EC:3.6.4
B8I2Y3,EC:3.6.4.12
Q6ANH2,EC:3
Q6ANH2,EC:3.5
Q6ANH2,EC:3.5.4
Q6ANH2,EC:3.5.4.2
O15204,EC:3
O15204,EC:3.4
O15204,EC:3.4.24
O15204,EC:0
Q38ZJ0,EC:3
Q38ZJ0,EC:3.5
Q38ZJ0,EC:3.5.4
Q38ZJ0,EC:3.5.4.2
Q2K5M6,EC:3
Q2K5M6,EC:3.5
Q2K5M6,EC:3.5.4
Q2K5M6,EC:3.5.4.2
Q7CUX4,EC:3
Q7CUX4,EC:3.5
Q7CUX4,EC:3.5.4
Q7CUX4,EC:3.5.4.2
Q89H53,EC:3
Q89H53,EC:3.5
Q89H53,EC:3.5.4
Q89H53,EC:3.5.4.2
Q6ANH1,EC:3
Q6ANH1,EC:3.5
Q6ANH1,EC:3.5.4
Q6ANH1,EC:3.5.4.2
Q38V07,EC:3
Q38V07,EC:3.5
Q38V07,EC:3.5.4
Q38V07,EC:3.5.4.2
P30350,EC:1
P30350,EC:1.1
P30350,EC:1.1.1
P30350,EC:1.1.1.1
P06525,EC:1
P06525,EC:1.1
P06525,EC:1.1.1
P06525,EC:1.1.1.1
P41747,EC:1
P41747,EC:1.1
P41747,EC:1.1.1
P41747,EC:1.1.1.1
P43067,EC:1
P43067,EC:1.1
P43067,EC:1.1.1
P43067,EC:1.1.1.1
P48814,EC:1
P48814,EC:1.1
P48814,EC:1.1.1
P48814,EC:1.1.1.1
P23991,EC:1
P23991,EC:1.1
P23991,EC:1.1.1
P23991,EC:1.1.1.1
P86883,EC:1
P86883,EC:1.1
P86883,EC:1.1.1
P86883,EC:1.1.1.1
O30009,EC:2
O30009,EC:2.2
O30009,EC:2.2.1
O30009,EC:2.2.1.10
O67506,EC:2
O67506,EC:2.2
O67506,EC:2.2.1
O67506,EC:2.2.1.10
A6UTT2,EC:2
A6UTT2,EC:2.2
A6UTT2,EC:2.2.1
A6UTT2,EC:2.2.1.10
Q9LEW3,EC:3
Q9LEW3,EC:3.4
Q9LEW3,EC:3.4.23
Q9LEW3,EC:0
Q96SZ5,EC:1
Q96SZ5,EC:1.13
Q96SZ5,EC:1.13.11
Q96SZ5,EC:1.13.11.19
Q84P17,EC:6
Q84P17,EC:6.2
Q84P17,EC:6.2.1
Q84P17,EC:0
Q9C9G2,EC:6
Q9C9G2,EC:6.2
Q9C9G2,EC:6.2.1
Q9C9G2,EC:0
Q9LPK6,EC:6
Q9LPK6,EC:6.2
Q9LPK6,EC:6.2.1
Q9LPK6,EC:0
O34508,EC:5
O34508,EC:5.1
O34508,EC:5.1.1
O34508,EC:5.1.1.20
Q7TVN5,EC:2
Q7TVN5,EC:2.4
Q7TVN5,EC:2.4.2
Q7TVN5,EC:2.4.2.46
A0R611,EC:2
A0R611,EC:2.4
A0R611,EC:2.4.2
A0R611,EC:2.4.2.46
O53582,EC:2
O53582,EC:2.4
O53582,EC:2.4.2
O53582,EC:0
A0QW28,EC:2
A0QW28,EC:2.4
A0QW28,EC:2.4.2
A0QW28,EC:2.4.2.47
A0QPD4,EC:2
A0QPD4,EC:2.4
A0QPD4,EC:2.4.2
A0QPD4,EC:2.4.2.47
B8NY88,EC:6
B8NY88,EC:2
B8NY88,EC:6.1
B8NY88,EC:2.1
B8NY88,EC:6.1.2
B8NY88,EC:2.1.1
B8NY88,EC:0
B8NY85,EC:2
B8NY85,EC:2.1
B8NY85,EC:2.1.1
B8NY85,EC:0
Q53H12,EC:2
Q53H12,EC:2.7
Q53H12,EC:2.7.1
Q53H12,EC:2.7.1.94
Q53H12,EC:2.7.1.107
Q53H12,EC:2.7.1.138
Q7ZYJ3,EC:2
Q7ZYJ3,EC:2.7
Q7ZYJ3,EC:2.7.1
Q7ZYJ3,EC:2.7.1.94
Q7ZYJ3,EC:2.7.1.107
Q7ZYJ3,EC:2.7.1.138
D4GU63,EC:2
D4GU63,EC:2.4
D4GU63,EC:2.4.1
D4GU63,EC:0
D4GU70,EC:2
D4GU70,EC:2.7
D4GU70,EC:2.7.7
D4GU70,EC:0
Q9YE60,EC:4
Q9YE60,EC:3
Q9YE60,EC:4.2
Q9YE60,EC:3.2
Q9YE60,EC:4.2.99
Q9YE60,EC:3.2.2
